URN,LANAME,SCHNAME,OFSTEDRATING,STREET,LOCALITY,TOWN,ISPRIMARY,ISSECONDARY,ISPOST16,GENDER
100000,City of London,The Aldgate School,Outstanding,St James's Passage,Duke's Place,London,1,0,0,Mixed
100001,City of London,City of London School for Girls,,St Giles' Terrace,Barbican,London,1,1,1,Girls
100002,City of London,St Paul's Cathedral School,,2 New Change,,London,1,1,0,Mixed
100003,City of London,City of London School,,107 Queen Victoria Street,,London,1,1,1,Boys
100008,Camden,Argyle Primary School,Good,Tonbridge Street,,London,1,0,0,Mixed
100009,Camden,West Hampstead Primary School,Good,Dornfell Street,West Hampstead,London,1,0,0,Mixed
100010,Camden,Brecknock Primary School,Good,Cliff Villas,Camden,London,1,0,0,Mixed
100011,Camden,Brookfield Primary School,Good,Chester Road,,London,1,0,0,Mixed
100013,Camden,Edith Neville Primary School,Outstanding,85 Polygon Road,,London,1,0,0,Mixed
100014,Camden,Fleet Primary School,Good,Fleet Road,,London,1,0,0,Mixed
100015,Camden,Hawley Primary School,Good,Hawley Road,,London,1,0,0,Mixed
100018,Camden,Netley Primary School & Centre for Autism,Good,74 Stanhope Street,Camden,London,1,0,0,Mixed
100019,Camden,New End Primary School,Good,Streatley Place,Hampstead,London,1,0,0,Mixed
100020,Camden,Primrose Hill School,Good,Princess Road,,London,1,0,0,Mixed
100021,Camden,Rhyl Community Primary School,Outstanding,Rhyl Street,,London,1,0,0,Mixed
100022,Camden,Richard Cobden Primary School,Outstanding,Camden Street,,London,1,0,0,Mixed
100023,Camden,Torriano Primary School,Outstanding,Torriano Avenue,Kentish Town,London,1,0,0,Mixed
100025,Camden,Gospel Oak Primary School,Outstanding,Mansfield Road,,London,1,0,0,Mixed
100026,Camden,Fitzjohn's Primary School,Good,86A Fitzjohn's Avenue,,London,1,0,0,Mixed
100027,Camden,Eleanor Palmer Primary School,Outstanding,Lupton Street,Tufnell Park,London,1,0,0,Mixed
100028,Camden,"Christ Church Primary School, Hampstead",Outstanding,Christ Church Hill,,London,1,0,0,Mixed
100029,Camden,Christ Church School,Good,Redhill Street,Camden,London,1,0,0,Mixed
100030,Camden,Emmanuel Church of England Primary School,Good,152-158 Mill Lane,West Hampstead,London,1,0,0,Mixed
100031,Camden,Hampstead Parochial Church of England Primary School,Good,"Hampstead Parochial School , Holly Bush Vale",Hampstead,London,1,0,0,Mixed
100032,Camden,"Holy Trinity CofE Primary School, NW3",Good,Trinity Walk,Maresfield Gardens,London,1,0,0,Mixed
100033,Camden,"Holy Trinity and Saint Silas CofE Primary School, NW1",Good,Hartland Road,,London,1,0,0,Mixed
100034,Camden,Kentish Town Church of England Primary School,Outstanding,Islip Street,,London,1,0,0,Mixed
100035,Camden,Rosary Catholic Primary School,Good,238 Haverstock Hill,Hampstead,London,1,0,0,Mixed
100036,Camden,St Alban's Church of England Primary School,Good,Baldwins Gardens,Holborn,London,1,0,0,Mixed
100039,Camden,St Dominic's Catholic Primary School,Good,Southampton Road,,London,1,0,0,Mixed
100040,Camden,St George the Martyr Church of England Primary School,Outstanding,John's Mews,,London,1,0,0,Mixed
100041,Camden,St Josephs Catholic Primary School,Good,Macklin Street,Covent Garden,London,1,0,0,Mixed
100042,Camden,St Mary's Kilburn Church of England Primary School,Outstanding,Quex Road,Kilburn,London,1,0,0,Mixed
100043,Camden,St Mary and St Pancras Church of England Primary School,Good,81 Werrington Street,,London,1,0,0,Mixed
100044,Camden,St Michael's Church of England Primary School,Good,88 Camden Street,,London,1,0,0,Mixed
100045,Camden,St Patrick's Catholic Primary School,Good,Holmes Road,,London,1,0,0,Mixed
100046,Camden,St Paul's Church of England Primary School,Good,Elsworthy Road,Primrose Hill,London,1,0,0,Mixed
100047,Camden,St Eugene de Mazenod Roman Catholic Primary School,Outstanding,Mazenod Avenue,,London,1,0,0,Mixed
100048,Camden,Our Lady Roman Catholic Primary School,Outstanding,Pratt Street,Camden,London,1,0,0,Mixed
100049,Camden,Haverstock School,Good,24 Haverstock Hill,Chalk Farm,London,0,1,1,Mixed
100050,Camden,Parliament Hill School,Outstanding,Highgate Road,,London,0,1,1,Girls
100051,Camden,Regent High School,Good,Chalton Street,Camden,London,0,1,1,Mixed
100052,Camden,Hampstead School,Good,Westbere Road,Hampstead,London,0,1,1,Mixed
100053,Camden,Acland Burghley School,Good,Burghley Road,,London,0,1,1,Mixed
