date,index,avg price,sales vol,cpi,crime count,VIX,bba mortgage rate
01/01/2020,118.1459306,475947.8309,6527,1.8,91686,13.94,4.27
01/02/2020,117.7816514,474480.3413,6465,1.7,87403,19.63,4.26
01/03/2020,119.7983818,482604.6877,6842,1.5,82576,57.74,4.1
01/04/2020,118.1984388,476159.3587,3206,0.9,65938,41.45,3.66
01/05/2020,117.4701137,473225.3197,2929,0.7,75746,30.9,3.65
01/06/2020,119.1441649,479969.1918,4511,0.8,78606,31.12,3.65
01/07/2020,120.1024918,483829.7871,5988,1.1,86805,26.84,3.66
01/08/2020,121.4911805,489424.0835,6148,0.5,85766,22.89,3.65
01/09/2020,122.4298423,493205.4586,7087,0.7,86566,27.65,3.65
01/10/2020,120.6937202,486211.5354,8083,0.9,86644,29.44,3.64
01/11/2020,122.7641619,494552.2563,7825,0.6,80586,25,3.64
01/12/2020,122.6749615,494192.9147,9201,0.8,74974,22.37,3.62
01/01/2021,122.7,494231,8030,0.9,60494,24.91,3.62
01/02/2021,121.8,490544,10070,0.7,58777,23.14,3.62
01/03/2021,123.9,499098,16466,1,69522,21.84,3.62
01/04/2021,121.4,488928,9151,1.6,67651,17.42,3.61
01/05/2021,121.2,488226,7696,2.1,73206,19.76,3.61
01/06/2021,124.8,502730,26412,2.4,75183,16.96,3.61
01/07/2021,122.8,494873,3030,2.1,76670,17.6,3.61
01/08/2021,126.6,509859,6063,3,70452,17.47,3.61
01/09/2021,125.6,506165,12748,2.9,74266,19.82,3.61
01/10/2021,125.1,504044,4935,3.8,81500,17.87,3.6
01/11/2021,127,511555,6837,4.6,79366,18.5,3.59
01/12/2021,127,511732,7655,4.8,72207,21.35,3.61
01/01/2022,127.7,514346,6363,4.9,74229,23.18,3.67
01/02/2022,127.8,514749,7143,5.5,71930,25.75,3.83
01/03/2022,127.6,514202,8630,6.2,80434,26.97,3.99
01/04/2022,128.6,518204,7432,7.8,72026,24.37,4.1
01/05/2022,128.5,517844,7768,7.9,80711,29.31,4.25
01/06/2022,132.7,534693,8528,8.2,78864,28.23,4.38
01/07/2022,133.4,537349,9356,8.8,79590,25,4.55
01/08/2022,134.8,543009,9432,8.6,77357,22.17,4.89
01/09/2022,134.3,541150,9508,8.8,74973,27.34,5.1
01/10/2022,133.1,536121,8976,9.6,80743,30.01,5.41
01/11/2022,133.4,537554,8978,9.3,79845,23.3,5.88
01/12/2022,132.7,534662,8125,9.2,72767,21.78,6.41
01/01/2023,132.4,533247,6046,8.8,78027,20.17,6.66
01/02/2023,130.7,526714,5587,9.2,73332,20.12,7.02
01/03/2023,128.8,518761,6571,8.9,80737,21.64,7.22
01/04/2023,129.2,520429,4330,7.8,74658,17.82,7.35
01/05/2023,128.7,518330,4835,7.9,83156,17.64,7.44
01/06/2023,128.9,519457,6016,7.3,84512,14,7.54
01/07/2023,129.8,522817,6043,6.4,84412,13.93,7.6
01/08/2023,130,523682,6988,6.3,80837,15.85,7.85
01/09/2023,131.2,528420,6912,6.3,82340,15.17,7.95
01/10/2023,128.7,518538,6242,4.7,79907,18.89,8.05
01/11/2023,126.7,510333,5923,4.2,83678,14.02,8.03
01/12/2023,127,511479,5296,4.2,81136,12.72,7.96
01/01/2024,127.2,512442,4765,4.2,79988,13.39,7.92
01/02/2024,126.1,508082,5054,3.8,79038,13.98,7.92
01/03/2024,125.5,505563,5233,3.8,78952,13.79,7.92
01/04/2024,126.8,510675,4945,3,76950,16.14,7.93
01/05/2024,127.7,514324,5584,2.8,80642,13.06,7.93
01/06/2024,129.1,519974,4854,2.8,81236,12.67,7.98
01/07/2024,130.9,527253,5640,3.1,84112,14.37,7.98
01/08/2024,131.9,531246,4826,3.1,81858,19.31,7.83
01/09/2024,130.8,526732,4728,2.6,82630,17.66,7.69
01/10/2024,129,519579,4605,3.2,88281,19.96,7.69
